code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ur,eu,ga,mt,gl
BEL,,,36.44,,,,47.48,,,,,1.61,,,,,,,,5.74,,4.75,,,,,,,,,,
DNK,,,0.34,,,,,,,,,,,,,,98.63,,,0.36,,0.34,,,,,,0.56,,,,
DEU,1.76,76.98,,,,3.53,,,9.01,,,,,,,,,,,,,4.59,,,,,,,,,,
GRC,1.06,,,,,,,1.06,0.97,,,,95.08,,0.95,,,,,,,,,,,,,,,,,
ESP,,,1.7,76.43,,,,4.17,,,,,,,,9.04,,,,,,,,,,,,,,,,6.02
FRA,1.31,,92.99,,,,,,,,,0.71,,,,,,,,3.52,,0.94,,,,,,,,,,
IRL,89.48,,,,,5.06,,,,,,,,,,,,0.86,,,1.04,,,,,,,,,3.51,,
ITA,0.73,,,,95.98,,,0.66,,,,,,,,,,,,0.4,,,,,,,,,1.79,,,
LUX,,,18.29,,2.3,,1.65,,,,,28.57,,,,,,,,,,,,,,,47.51,,,,,
NLD,1.08,1.47,,,,,95.02,,,,,,,,0.57,,,,,,,1.36,,,,,,,,,,
PRT,1.56,,,,,,,1.55,,1.82,,92.69,,,,,,,,,,,,,,2.46,,,,,,
GBR,80.05,1.14,,,,2.67,,,,,,1.3,,,,,,,,,,,,,,,,1.84,,,,
AUT,,94.29,,,,,,,0.79,,0.61,,,,,,,,,,,2.56,,,1.3,,,,,,,
SWE,2.45,,,2.1,,,,,,,1.31,,,92.29,,,,,,2.62,,,,,,,,,,,,
FIN,0.86,,,,,0.98,,,0.98,,,,,5.69,,,,,91.27,,,,,,,,,,,,,
CYP,1.1,,,,,,,3.3,1.14,,,,91.73,,1.09,,,,,,,,,,,,,,,,,
CZE,1.25,0.64,,,,0.23,,,,97.99,,,,,,,,0.89,,,,,,,,,,,,,,
EST,1.23,,,,,,,,19.14,,,,,,,,,,0.94,,,,,,0.49,79.22,,,,,,
HUN,,0.3,,,,,0.38,,,,98.93,,0.42,,,,,,,,,,,,,,,,0.35,,,
LVA,,,,,0.29,0.27,,,31.67,,,,,,,,,,0.52,,,,,67.58,,,,,,,,
LTU,,,,,,2.55,,,6.00,,,,,,,,,,,,92.82,,,0.35,,0.33,,,,,,
MLT,5.22,,,,1.77,,,,,,,,,,1.5,,,,,1.03,,,,,,,,,,,93.28,
POL,2.48,,,,,95.9,,,0.79,,,,,,,0.76,,,,,,,,,,,,,0.41,,,
SVK,,0.36,,,,,,,,0.3,5.44,,,,,,,92.93,,,,,,,,,,,,,,
SVN,,0.34,,0.42,,,,,,,,,,,,,,0.4,,,,,92.36,,4.14,,,,,,,
BGR,0.89,,,,,,,0.3,0.3,,,,,,91.9,,,,,,,5.8,,,,,,,,,,
ROU,0.56,,,,0.35,,,93.2,,,7.18,,,,,,,,,,,,,,,,,,,,,
